feature_id_standardized	log2FoldChange_full	pvalue_full	padj_full	log2FoldChange_leave_one_out	pvalue_leave_one_out	padj_leave_one_out	same_direction	significant_full	significant_leave_one_out
NCBI:GeneID:105336396	-1.07029359068946	0.0465462686776264	0.0919985652790073	-2.266229560461	5.70554805951786e-33	1.08089044309183e-31	TRUE	FALSE	TRUE
NCBI:GeneID:105336397	1.7526472251854	0.000912378792285843	0.00346984134171817	1.67536203666398	0.00445056123583664	0.00871637887421812	TRUE	TRUE	TRUE
NCBI:GeneID:105336405	-1.02622198706724	1.11593826789392e-06	1.01149134675435e-05	-0.878658706746576	2.5902229289925e-08	1.05765212365373e-07	TRUE	TRUE	TRUE
NCBI:GeneID:105336406	-2.04111743700821	0.0132027268862864	0.0326671866289808	-3.61695885481115	0.0019557488451933	0.00410107080596302	TRUE	TRUE	TRUE
NCBI:GeneID:105336412	-0.0096630967295105	0.941526824927747	0.960368272692394	0.0178067514427729	0.867888974728841	0.897931808240312	FALSE	FALSE	FALSE
NCBI:GeneID:105336414	-0.0491243714339429	0.895721818418695	0.928039746399708	0.0784515234492498	0.838739150876508	0.874162678891752	FALSE	FALSE	FALSE
NCBI:GeneID:105336415	-0.701360146401393	0.0984564792136655	0.169938083529585	-0.750875701809574	0.0462757362475656	0.0734128564151597	TRUE	FALSE	FALSE
NCBI:GeneID:105336419	-0.372451952218139	0.0269964558639312	0.0588327954782151	-0.241533879989869	0.00987076947517616	0.0180508645182808	TRUE	FALSE	TRUE
NCBI:GeneID:105336420	-1.854388809569	3.92261954738585e-06	3.065987523152e-05	-1.45898313474593	7.41133809498035e-07	2.56888360486497e-06	TRUE	TRUE	TRUE
NCBI:GeneID:105336421	-1.66612683423379	0.00312835953482666	0.00982023381227115	-1.65010224687369	0.00954530941294959	0.017521987153961	TRUE	TRUE	TRUE
NCBI:GeneID:105336422	-0.0729584866394179	0.853834594290073	0.899301370903469	0.212421960510869	0.520535490532422	0.596726910662846	FALSE	FALSE	FALSE
NCBI:GeneID:105336423	0.251871918578525	0.670064493794169	0.757454237793111	-0.292776628738533	0.574924873838693	0.646615091661703	FALSE	FALSE	FALSE
NCBI:GeneID:105336425	-1.43103580362496	6.85293044518892e-22	5.80273349747749e-20	-1.39431467809594	9.93089726230068e-24	1.22917339256559e-22	TRUE	TRUE	TRUE
NCBI:GeneID:105336430	1.23087984389432	8.17337729821712e-07	7.64984873816127e-06	1.36811452642604	8.25999109497396e-11	4.30510214460821e-10	TRUE	TRUE	TRUE
NCBI:GeneID:105336431	2.54447425445197	0.00222946495863271	0.00744181581710723	2.63730886649885	0.00175625488407521	0.00371181173025111	TRUE	TRUE	TRUE
NCBI:GeneID:105336432	-0.481611440809236	0.438149759901294	0.550297879226942	-1.76737358674773	5.00321749842892e-06	1.56230315078581e-05	TRUE	FALSE	TRUE
NCBI:GeneID:105336437	0.309375387382547	0.0448474501256145	0.0893072740491382	0.369068362945111	0.00510737218620392	0.00988549396774926	TRUE	FALSE	TRUE
NCBI:GeneID:105336445	0.505596284692663	0.00305575944033465	0.00962894681151253	0.510486616335261	0.00312407092364283	0.00631506573731576	TRUE	TRUE	TRUE
NCBI:GeneID:105336446	0.785377950042703	4.12763269364049e-05	0.000242038810866507	0.811014310144828	2.18767148861638e-05	6.27455467049098e-05	TRUE	TRUE	TRUE
NCBI:GeneID:105336452	-0.102616087674724	0.843410964601178	0.891985313723391	-0.191851258068091	0.725404844590886	0.778943448597215	TRUE	FALSE	FALSE
NCBI:GeneID:105336453	-1.61269926144481	6.54320171409278e-05	0.000360531142277626	-2.27672064458522	2.37329113510419e-26	3.2979759560466e-25	TRUE	TRUE	TRUE
NCBI:GeneID:105336455	-0.740064022665897	0.000549443935150433	0.00226287302662039	-0.803135436665244	0.000191009514760213	0.000477608144414937	TRUE	TRUE	TRUE
NCBI:GeneID:105336465	0.174696694051444	0.317471047959163	0.429611483695046	0.144263653423195	0.349637393000389	0.428791594237883	TRUE	FALSE	FALSE
NCBI:GeneID:105336466	-2.08420577828131	0.000512454610860079	0.00212641645907581	-3.43207852739565	2.80082208565184e-14	1.91713611223755e-13	TRUE	TRUE	TRUE
NCBI:GeneID:105336468	1.11625803396055	1.33937995818717e-08	1.89020473586329e-07	1.29707450996808	5.83641059554684e-158	1.34481758559717e-155	TRUE	TRUE	TRUE
NCBI:GeneID:105336469	1.57383730303871	1.19282384349063e-11	2.99172299176244e-10	1.46543593261635	1.97252178867643e-11	1.08275600455435e-10	TRUE	TRUE	TRUE
NCBI:GeneID:105336470	-0.24501282486392	0.027784649923755	0.0601864057712126	-0.244010811640434	0.00048197982611928	0.00112788288077228	TRUE	FALSE	TRUE
NCBI:GeneID:105336472	1.49721356445038	1.90934136512109e-06	1.61535823264344e-05	1.72503241279591	9.45915466087978e-13	5.73569794247227e-12	TRUE	TRUE	TRUE
NCBI:GeneID:105336473	-0.901407937641203	1.28308611269534e-11	3.20998336325068e-10	-0.871817904451712	1.12600985725418e-24	1.44327369543006e-23	TRUE	TRUE	TRUE
NCBI:GeneID:105336475	-0.670274514039385	2.54700069871403e-06	2.09143273287691e-05	-0.673162719916877	2.81702966913943e-10	1.40116114266232e-09	TRUE	TRUE	TRUE
NCBI:GeneID:105336476	-0.11420558959306	0.715547748347077	0.794411558567209	-0.493440265170368	0.0301081763703446	0.0497850152665846	TRUE	FALSE	TRUE
NCBI:GeneID:105336477	-0.724098509407019	0.2350434018973	0.340335425693737	-0.708600633796741	0.317215766840675	0.394257954900719	TRUE	FALSE	FALSE
NCBI:GeneID:105336478	1.23492369908916	0.000696122914213597	0.00276191017665763	1.5635179315049	2.52868190303689e-17	2.12955208629745e-16	TRUE	TRUE	TRUE
NCBI:GeneID:105336479	-0.674935798224109	0.126622927881662	0.208069886635201	-1.52876183170954	9.61036064428838e-27	1.36417554818924e-25	TRUE	FALSE	TRUE
NCBI:GeneID:105336480	0.705963016875227	0.0350155846318232	0.0727023780671639	1.04771625510026	6.20837170494876e-144	1.21807023470559e-141	TRUE	FALSE	TRUE
NCBI:GeneID:105336481	-1.29745570690652	0.0066296166626466	0.0184596999091737	-2.07710359446769	1.15107710889213e-15	8.68281080693054e-15	TRUE	TRUE	TRUE
NCBI:GeneID:105336482	-0.506388364962758	0.00100146396639966	0.00375205206332782	-0.438073452224999	0.000839504999908925	0.00188398992958044	TRUE	TRUE	TRUE
NCBI:GeneID:105336483	-0.260872708410599	0.0265412644777534	0.0580026046943928	-0.261189230616338	0.00345083152514926	0.006915622724753	TRUE	FALSE	TRUE
NCBI:GeneID:105336484	0.00707538208589982	0.969143912662918	0.979918368544979	-0.0745905660840633	0.658224846302353	0.721036269230368	FALSE	FALSE	FALSE
NCBI:GeneID:105336490	-1.62014771255563	2.22814736634096e-08	3.0053445824833e-07	-2.0535295456087	2.98715549441502e-64	1.42979404051517e-62	TRUE	TRUE	TRUE
NCBI:GeneID:105336494	-1.03881889873802	0.00100962380907385	0.0037794608261835	-1.54828401588322	9.38570541720603e-62	4.2462817019944e-60	TRUE	TRUE	TRUE
NCBI:GeneID:105336496	1.27934543671984	0.0109845748550038	0.0280547004610782	1.57450203945015	0.000257129876062059	0.000629669503713021	TRUE	TRUE	TRUE
NCBI:GeneID:105336499	1.09307608043588	0.000239737151320952	0.00110648775128659	1.25651960147419	8.92235171338024e-06	2.69233015916466e-05	TRUE	TRUE	TRUE
NCBI:GeneID:105336503	0.080635936236004	0.632591646130693	0.725735097934894	0.189339905679294	0.102492775077238	0.148518963870607	TRUE	FALSE	FALSE
NCBI:GeneID:105336504	-0.449962082988783	0.00281434963251483	0.00903053014067187	-0.483444372006442	3.03548232506353e-05	8.51636949645461e-05	TRUE	TRUE	TRUE
NCBI:GeneID:105336505	-0.443835432420651	0.0098664685464824	0.025612843799641	-0.614036529329518	7.93947970444387e-16	6.03717305538219e-15	TRUE	TRUE	TRUE
NCBI:GeneID:105336509	-1.09526830648227	0.0457832927212408	0.0908058220198864	-0.975157217317997	0.10424401075283	0.150780972049495	TRUE	FALSE	FALSE
NCBI:GeneID:105336510	0.667024699273594	0.000285983684969897	0.00129165277729508	0.69646794486363	3.52767381573294e-05	9.80563674183812e-05	TRUE	TRUE	TRUE
