feature_id_standardized	gene_symbol	description	gene_biotype	annotation_release
NCBI:GeneID:105330910	LOC105330910	uncharacterized LOC105330910	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337947	LOC105337947	tRNA dimethylallyltransferase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332042	LOC105332042	protein APCDD1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346061	LOC105346061	uncharacterized LOC105346061	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317736	LOC105317736	hepatocyte growth factor receptor	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327651	LOC105327651	uncharacterized LOC105327651	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117689798	LOC117689798	galactoside alpha-(1,2)-fucosyltransferase 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109617337	LOC109617337	uncharacterized LOC109617337	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332380	LOC105332380	uncharacterized transmembrane protein DDB_G0289901	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117691350	LOC117691350	uncharacterized LOC117691350	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117683202	LOC117683202	amidase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345606	LOC105345606	uncharacterized LOC105345606	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327207	LOC105327207	uncharacterized LOC105327207	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319350	LOC105319350	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339525	LOC105339525	reticulophagy regulator 3	protein_coding	GCF_963853765.1-RS_2024_06
