sample_comparison	feature_id_original	feature_type	molecular_direction	effect_size	effect_size_type	standard_error	p_value	adjusted_p_value	analysis_method	quality_flags
heat_35C_2h_vs_control_12C	CGI_10007687	gene	up	1.04694038240299	log2_fold_change			0.00219541910182376	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10007534	gene	up	1.04429000644448	log2_fold_change			0.0198410229088812	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_9842	gene	up	1.03568375119503	log2_fold_change			0.00787807456966405	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10011184	gene	up	1.02186405442204	log2_fold_change			0.000355689373601619	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10012725	gene	up	1.01594624031572	log2_fold_change			0.00214015591407583	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10012233	gene	up	1.0072302097516	log2_fold_change			0.00543689616774294	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_2604	gene	up	1.00719574495603	log2_fold_change			0.00688335137557883	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_20835	gene	up	0.997411932283091	log2_fold_change			0.0399834910251239	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10001358	gene	up	0.993074740412315	log2_fold_change			0.028553410973906	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10022922	gene	up	0.985206783982696	log2_fold_change			0.0315497182415748	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_37076	gene	up	0.982254123485799	log2_fold_change			0.0453296023650218	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10026192	gene	up	0.980638246030718	log2_fold_change			0.00103247907244512	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10022648	gene	up	0.980201326792849	log2_fold_change			0.0141512867028748	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10010647	gene	up	0.98009263620631	log2_fold_change			0.0155784156078768	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10027877	gene	up	0.969865254877932	log2_fold_change			0.0126852669706047	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10002594	gene	up	0.961372552661201	log2_fold_change			0.015987089882252	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10019614	gene	up	0.960647763110229	log2_fold_change			0.0126180420496369	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10003417	gene	up	0.951982074705871	log2_fold_change			0.0499018099172582	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10027667	gene	up	0.943868412656804	log2_fold_change			0.015987089882252	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_35804	gene	up	0.930584452902035	log2_fold_change			0.00193345129318593	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_11340	gene	up	0.929518693836129	log2_fold_change			0.0150864455299852	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10005413	gene	up	0.917143851138301	log2_fold_change			0.0417352854101084	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
